prefix,GRAPHITE
ING,"\bing",DONT CIRCLE,NOT ACTION,I,N,G
NT,"\bn't",DONT CIRCLE,NOT ACTION,N,QUOT,T
QUOTE_VE,"\b've",DONT CIRCLE,NOT ACTION,QUOT,V,E
QUOTE_RE,"\b're",DONT CIRCLE,NOT ACTION,QUOT,R,E
QUOTE_S,"\b's",DONT CIRCLE,NOT ACTION,QUOT,S,MAGIC
QUOTE_D,"\b'd",DONT CIRCLE,NOT ACTION,QUOT,D,MAGIC
QUOTE_LL,"\b'll",DONT CIRCLE,NOT ACTION,QUOT,L,MAGIC

# 100 most used words
A__,"A",DONT CIRCLE,NOT ACTION,BSPC,A
A_,"a",DONT CIRCLE,NOT ACTION,MAGIC,A
ABOUT,"about",DONT CIRCLE,NOT ACTION,MAGIC,U,T
AFTER,"after",DONT CIRCLE,NOT ACTION,F,T,R
AGAIN,"again",NO CIRCLE,NOT ACTION,G,A,I
AGAINST,"against",NO CIRCLE,NOT ACTION,T,S,G,A
ALL,"all",DONT CIRCLE,NOT ACTION,MAGIC,A,L
ALSO,"also",DONT CIRCLE,NOT ACTION,A,L,S
AND,"and",DONT CIRCLE,NOT ACTION,A,N,D
ANOTHER,"another",NO CIRCLE,NOT ACTION,R,H,A
ANY,"any",DONT CIRCLE,NOT ACTION,A,N,Y
AROUND,"around",NO CIRCLE,NOT ACTION,R,D,A
AS,"as",DONT CIRCLE,NOT ACTION,A,S
ASK,"ask",CIRCLE,NOT ACTION,S,K,A
AT,"at",DONT CIRCLE,NOT ACTION,A,T
BACK,"back",CIRCLE,NOT ACTION,B,C,K
BE,"be",CIRCLE,NOT ACTION,B,E
BECAUSE,"because",DONT CIRCLE,NOT ACTION,B,E,A
BECOME,"become",CIRCLE,NOT ACTION,M,C,E
BEFORE,"before",DONT CIRCLE,NOT ACTION,B,F,O
BEGIN,"begin",CIRCLE,NOT ACTION,B,G,E,I
BETWEEN,"between",NO CIRCLE,NOT ACTION,T,W,E
BIRTHDAY,"birthday",DONT CIRCLE,NOT ACTION,B,D,A
BOTH,"both",NO CIRCLE,NOT ACTION,B,T,H
BUT,", but",CIRCLE,NOT ACTION,B,U
BY,"by",DONT CIRCLE,NOT ACTION,B,Y
CALL,"call",CIRCLE,NOT ACTION,L,C,A
CAN,"can",CIRCLE,NOT ACTION,C,A,N
CANNOT,"can not",CIRCLE,NOT ACTION,C,A,N,T
CHANGE,"change",CIRCLE,NOT ACTION,C,H,A,E
CHILD,"child",CIRCLE,NOT ACTION,L,D,C
COME,"come",CIRCLE,NOT ACTION,M,C,O
CONSIDER,"consider",CIRCLE,NOT ACTION,N,D,C
COULD,"could",CIRCLE,NOT ACTION,C,O,U
COURSE,"course",CIRCLE,NOT ACTION,R,C,O,U
DAY,"day",CIRCLE,NOT ACTION,MAGIC,D,A
DEVELOP,"develop",CIRCLE,NOT ACTION,D,V,E
DO,"do",CIRCLE,NOT ACTION,MAGIC,D,O
DOWN,"down",NO CIRCLE, NOT ACTION,D,W,N
DURING,"during",NO CIRCLE,NOT ACTION,N,R,D
EACH,"each",NO CIRCLE,NOT ACTION,C,H,E
EARLY,"early",CIRCLE,NOT ACTION,L,Y,E
END,"end",CIRCLE,NOT ACTION,N,D,E
EVEN,"even",DONT CIRCLE,NOT ACTION,E,V,N
EYE,"eye",CIRCLE,NOT ACTION,MAGIC,Y,E
FACE,"face",CIRCLE,NOT ACTION,C,F,A
FACT,"fact",CIRCLE,NOT ACTION,T,C,F
